line_id;station_id
1;1862
1;1866
1;1632
1;2018
1;1770
1;1908
1;1838
1;1874
1;1911
1;2019
1;1643
1;1942
1;54244
1;1836
1;1994
1;1812
1;1950
1;1717
1;1834
1;1631
1;1837
1;1746
1;1952
2;1679
2;55329
2;1964
2;1855
2;1745
2;1819
2;1792
2;1988
2;1849
2;1736
2;55330
2;2004
2;1864
3;1781
3;1732
3;1661
3;1989
3;1918
3;1689
3;1828
3;1638
3;1632
3;1814
3;1622
3;1734
3;1975
3;1656
3;1767
3;1751
3;1865
3;1831
3;1787
3;1645
3;1674
3;1686
3;1813
3;1879
3;1768
3;454595
3;1889
3;1887
3;1885
4;1731
4;1790
4;1818
4;22439
4;228266
4;1927
4;22443
4;1857
4;1783
4;50622
4;1725
4;1816
4;1844
4;22441
4;1751
4;1949
4;50399
4;225437
4;1968
4;1908
4;1705
4;1851
4;1730
4;1689
4;1644
4;1747
4;1872
4;1685
4;22442
4;1931
4;1804
4;225436
5;171507
5;2005
5;51020
5;1964
5;1689
5;1839
5;50055
5;50047
5;1813
6;1913
6;1986
6;1846
6;1855
6;1774
6;1839
6;1662
6;1953
6;1640
6;1938
6;1709
6;1695
6;1802
6;1850
6;1809
6;1716
6;1758
6;1733
6;1690
6;1949
6;2000
6;1924
6;1962
6;1964
6;1885
7;1741
7;1714
7;1670
7;1749
7;1984
7;1790
7;1861
7;1635
7;1627
7;1999
7;1654
7;1892
7;1758
7;1972
7;1754
7;2004
7;2009
7;1784
7;1787
7;1648
7;1978
7;1868
7;1893
7;1995
7;1953
8;1684
8;1736
8;1929
8;1782
9;1852
9;1988
9;1708
9;1928
9;1779
9;1722
9;1740
9;1744
9;1693
9;1658
9;1826
9;1915
9;1634
9;1807
9;1676
9;1654
9;1689
9;1721
9;1929
9;1982
9;1679
9;1741
9;1771
9;1702
9;1930
10;1676
10;1628
10;1969
10;1726
10;1828
10;1770
10;1694
10;1964
10;1914
10;466736
10;1753
10;1697
10;1660
10;1698
10;1646
10;1720
10;1801
10;1621
10;1999
10;1981
10;1687
10;1841
10;1902
10;1961
10;1751
10;1960
10;1842
11;2011
11;1861
11;1933
11;1664
11;1842
11;1769
11;1853
11;1941
11;1838
11;1728
11;1912
11;1773
11;1841
11;1679
11;1789
11;1627
11;1859
11;1743
11;1691
11;1882
11;2010
11;2000
12;1890
12;1953
12;1751
12;1907
12;1781
12;1910
12;1785
12;1789
12;1660
12;1780
12;1874
12;1906
12;2003
12;1633
12;2005
12;1688
12;1940
12;1758
12;1902
12;1761
12;2007
12;1639
12;1959
12;1901
12;1742
12;2012
12;1867
12;1848
13;1792
13;1861
13;1806
13;1737
13;2016
13;2014
13;1936
13;1900
14;1719
14;1866
14;1815
14;1649
14;1735
14;1636
14;1795
14;1964
14;1957
14;1820
14;1771
14;1711
14;1841
14;1963
14;1869
14;1774
14;1706
14;1793
14;1651
14;1630
14;1718
14;1789
14;1992
14;1650
14;1738
14;1923
14;1786
14;1888
14;1724
14;1666
14;1894
14;1800
14;1627
14;1788
14;1939
14;1944
14;1806
14;1712
15;1899
15;1874
15;2017
15;1665
15;2015
15;1958
15;2000
15;1803
15;1662
15;1925
15;1750
15;1771
15;1699
15;397629
15;1997
15;54166
15;1723
15;1835
15;1628
15;1813
15;1909
15;1919
15;21582
15;1897
15;21583
15;1973
15;1808
15;1857
15;1679
15;1671
15;1901
15;1715
15;23674
15;1885
15;1798
15;1917
15;1951
15;1898
16;1957
16;1876
16;1817
16;1665
16;1896
16;2006
16;1955
16;2015
16;1829
16;1852
16;1836
16;1680
16;1729
16;1681
16;1628
16;1860
16;1657
16;1679
16;1672
16;1727
16;1924
16;1769
16;1858
16;1916
16;1639
16;1837
16;1747
16;1696
16;1659
16;1671
16;1710
16;55372
16;1673
16;1937
16;1980
16;1667
16;1758
17;2022
17;2021
18;11039
18;11038
18;11037
