id_station;station_name;type
1975;Abbesses;metro
1981;Al‚sia;metro
1978;Alexandre-Dumas;metro
1980;Alma-Marceau;metro
1982;Anatole-France;metro
11037;Antony;metro
1984;Anvers;metro
1986;Argentine;metro
1988;Arts-et-M‚tiers;metro
225437;Asnieres-Gennevilliers Les Courtilles;metro
1989;Assembl‚e Nationale;metro
1992;Aubervilliers Pantin (4 Chemins);metro
1994;Avenue Emile-Zola;metro
1995;Avron;metro
1997;Balard;metro
1999;BarbŠs-Rochechouart;metro
50622;Basilique de Saint-Denis;metro
2000;Bastille;metro
2003;Bel-Air;metro
2004;Belleville;metro
1938;B‚rault;metro
2005;Bercy;metro
51020;Bibliotheque-Francois Mitterrand;metro
2006;Billancourt;metro
2007;Bir-Hakeim (Grenelle);metro
2009;Blanche;metro
2010;Bobigny-Pablo-Picasso;metro
2011;Bobigny-Pantin (Raymond Queneau);metro
2012;BoissiŠre;metro
2014;Bolivar;metro
2015;Bonne Nouvelle;metro
2016;Botzaris;metro
2017;Boucicaut;metro
2018;Boulogne-Jean-JaurŠs;metro
2019;Boulogne Pont de Saint-Cloud;metro
1930;Bourse;metro
1933;Br‚guet-Sabin;metro
1931;Brochant;metro
1936;Buttes-Chaumont;metro
1937;Buzenval;metro
1939;Cadet;metro
1940;Cambronne;metro
1941;Campo-Formio;metro
1942;Cardinal-Lemoine;metro
228266;Carrefour-Pleyel;metro
1944;Censier-Daubenton;metro
1949;Champs-Elys‚es-Cl‚menceau;metro
1950;Chardon-Lagache;metro
1951;Charenton-Ecoles;metro
1953;Charles de Gaulle-Etoile;metro
1952;Charles Michels;metro
1955;Charonne;metro
1961;Chƒteau d'Eau;metro
1962;Chƒteau de Vincennes;metro
1963;Chƒteau Landon;metro
1960;Chƒteau Rouge;metro
1964;Chƒtelet;metro
1968;Chƒtillon Montrouge;metro
1957;Chauss‚e d'Antin (La Fayette);metro
1958;Chemin Vert;metro
1959;Chevaleret;metro
1969;Cit‚;metro
54244;Cluny-La Sorbonne;metro
1972;Colonel Fabien;metro
1973;Commerce;metro
1885;Concorde;metro
1887;Convention;metro
1888;Corentin-Cariou;metro
1889;Corentin-Celton;metro
1890;Corvisart;metro
1892;Courcelles;metro
1893;Couronnes;metro
50055;Cour Saint-Emilion;metro
1897;Cr‚teil-L'Echat (H“pital Henri Mondor);metro
1898;Cr‚teil-Pr‚fecture (H“tel de Ville);metro
1899;Cr‚teil-Universit‚;metro
1894;Crim‚e;metro
1896;Croix-de-Chavaux (Jacques Duclos);metro
1900;Danube;metro
1901;Daumesnil (F‚lix Ebou‚);metro
1902;Denfert-Rochereau;metro
1906;Dugommier;metro
1907;Dupleix;metro
1908;Duroc;metro
1909;Ecole Militaire;metro
23674;Ecole V‚t‚rinaire de Maisons-Alfort;metro
1910;Edgar-Quinet;metro
1911;Eglise d'Auteuil;metro
1912;Eglise de Pantin;metro
1913;Esplanade de la D‚fense;metro
1914;Etienne Marcel;metro
1915;Europe;metro
1916;Exelmans;metro
1917;Faidherbe-Chaligny;metro
1918;FalguiŠre;metro
1925;F‚lix Faure;metro
1919;Filles du Calvaire;metro
1923;Fort d'Aubervilliers;metro
1924;Franklin-Roosevelt;metro
454595;Front Populaire;metro
2021;Funiculaire Gare basse;metro
2022;Funiculaire Gare haute;metro
22443;Gabriel-P‚ri;metro
1927;Gait‚;metro
1928;Gallieni (Parc de Bagnolet);metro
1929;Gambetta;metro
1838;Gare d'Austerlitz;metro
1841;Gare de l'Est (Verdun);metro
1839;Gare de Lyon;metro
1842;Gare du Nord;metro
1844;Garibaldi;metro
1846;George V;metro
1848;GlaciŠre;metro
1849;Goncourt (H“pital Saint-Louis);metro
1671;Grands Boulevards;metro
1851;Guy-M“quet;metro
1852;Havre-Caumartin;metro
1853;Hoche;metro
1855;H“tel de Ville;metro
1858;I‚na;metro
1857;Invalides;metro
1859;Jacques-Bonsergent;metro
1860;Jasmin;metro
1861;JaurŠs;metro
1862;Javel-Andr‚-Citroen;metro
1864;Jourdain;metro
1865;Jules Joffrin;metro
1866;Jussieu;metro
1867;Kl‚ber;metro
1868;La Chapelle;metro
1869;La Courneuve-8-Mai-1945;metro
1850;La D‚fense (Grande Arche);metro
1872;La Fourche;metro
1879;Lamarck-Caulaincourt;metro
1874;La Motte-Picquet-Grenelle;metro
1876;La Muette;metro
54166;La Tour-Maubourg;metro
1882;LaumiŠre;metro
1798;Ledru-Rollin;metro
1793;Le Kremlin-Bicˆtre;metro
1795;Le Peletier;metro
225436;Les Agnettes;metro
1800;Les Gobelins;metro
1801;Les Halles;metro
1802;Les Sablons (Jardin d'acclimatation);metro
1803;Libert‚;metro
1804;LiŠge;metro
1806;Louis Blanc;metro
1807;Louise Michel;metro
1808;Lourmel;metro
1809;Louvre-Rivoli;metro
1812;Mabillon;metro
1813;Madeleine;metro
1816;Mairie de Clichy;metro
1817;Mairie de Montreuil;metro
466736;Mairie de Montrouge;metro
1818;Mairie de Saint-Ouen;metro
1819;Mairie des Lilas;metro
1814;Mairie d'Issy;metro
1815;Mairie d'Ivry;metro
1820;Maison Blanche;metro
21583;Maisons-Alfort-Les Juilliottes;metro
21582;Maisons-Alfort-Stade;metro
22442;Malakoff-Plateau de Vanves;metro
22441;Malakoff-Rue Etienne Dolet;metro
1826;Malesherbes;metro
55372;Maraichers;metro
1828;Marcadet-Poissonniers;metro
1829;Marcel Sembat;metro
1831;Marx-Dormoy;metro
1834;Maubert-Mutualit‚;metro
1754;M‚nilmontant;metro
1836;Michel-Ange-Auteuil;metro
1837;Michel-Ange-Molitor;metro
1835;Michel Bizot;metro
1746;Mirabeau;metro
1747;Miromesnil;metro
1749;Monceau;metro
1750;Montgallet;metro
1751;Montparnasse-Bienvenue;metro
1753;Mouton-Duvernet;metro
1758;Nation;metro
1761;Nationale;metro
1767;Notre-Dame de Lorette;metro
1768;Notre-Dame des Champs;metro
1769;Oberkampf;metro
1770;Od‚on;metro
171507;Olympiades;metro
1771;Op‚ra;metro
11038;Orly-Ouest;metro
11039;Orly-Sud;metro
1773;Ourcq;metro
1774;Palais-Royal (Mus‚e du Louvre);metro
1779;Parmentier;metro
1780;Passy;metro
1781;Pasteur;metro
1782;Pelleport;metro
1740;P‚reire;metro
1741;PŠre-Lachaise;metro
1783;Pern‚ty;metro
1784;Philippe Auguste;metro
1785;Picpus;metro
1786;Pierre et Marie Curie;metro
1787;Pigalle;metro
1790;Place de Clichy;metro
1792;Place des Fˆtes;metro
1789;Place d'Italie;metro
1788;Place Monge (Jardin des Plantes);metro
1705;Plaisance;metro
397629;Pointe du Lac;metro
1706;PoissonniŠre;metro
1708;Pont de Levallois-B‚con;metro
1709;Pont de Neuilly;metro
1710;Pont de SŠvres;metro
1711;Pont Marie (Cit‚ des Arts);metro
1712;Pont Neuf;metro
1714;Porte Dauphine (Mar‚chal de Lattre de Tassigny);metro
1717;Porte d'Auteuil;metro
1721;Porte de Bagnolet;metro
1722;Porte de Champerret;metro
1723;Porte de Charenton;metro
1724;Porte de Choisy;metro
1725;Porte de Clichy;metro
1726;Porte de Clignancourt;metro
1734;Porte de la Chapelle;metro
1735;Porte de la Villette;metro
1727;Porte de Montreuil;metro
1728;Porte de Pantin;metro
1729;Porte de Saint-Cloud;metro
1730;Porte de Saint-Ouen;metro
1736;Porte des Lilas;metro
1731;Porte de Vanves;metro
1732;Porte de Versailles;metro
1733;Porte de Vincennes;metro
1718;Porte d'Italie;metro
1719;Porte d'Ivry;metro
1715;Porte Dor‚e;metro
1720;Porte d'Orl‚ans (G‚n‚ral Leclerc);metro
1716;Porte Maillot;metro
1737;Pr‚-Saint-Gervais;metro
1738;Pyramides;metro
50047;Pyramides;metro
55330;Pyrenees;metro
1742;Quai de la Gare;metro
1743;Quai de la Rap‚e;metro
1744;Quatre Septembre;metro
1745;Rambuteau;metro
1659;Ranelagh;metro
1660;Raspail;metro
1676;R‚aumur-S‚bastopol;metro
1661;Rennes;metro
1679;R‚publique;metro
1662;Reuilly-Diderot;metro
1664;Richard-Lenoir;metro
1665;Richelieu-Drouot;metro
1666;Riquet;metro
1667;Robespierre;metro
1670;Rome;metro
1672;Rue de la Pompe (Avenue Georges Mandel);metro
1673;Rue des Boulets;metro
1674;Rue du Bac;metro
1693;Rue Saint-Maur;metro
1680;Saint-Ambroise;metro
1681;Saint-Augustin;metro
22439;Saint-Denis-Porte de Paris;metro
50399;Saint-Denis-Universite;metro
1684;Saint-Fargeau;metro
1685;Saint-Francois-Xavier;metro
1686;Saint-Georges;metro
1687;Saint-Germain des Pr‚s;metro
1688;Saint-Jacques;metro
1689;Saint-Lazare;metro
1690;Saint-Mand‚;metro
1691;Saint-Marcel;metro
1694;Saint-Michel;metro
1695;Saint-Paul (Le Marais);metro
1696;Saint-Philippe du Roule;metro
1697;Saint-Placide;metro
1699;Saint-S‚bastien-Froissart;metro
1698;Saint-Sulpice;metro
1631;S‚gur;metro
1702;Sentier;metro
1632;SŠvres-Babylone;metro
1633;SŠvres-Lecourbe;metro
1621;Simplon;metro
1622;Solf‚rino;metro
1627;Stalingrad;metro
1628;Strasbourg-Saint-Denis;metro
1630;Sully-Morland;metro
55329;Telegraphe;metro
1634;Temple;metro
1635;Ternes;metro
1636;Tolbiac;metro
1638;Trinit‚-d'Estienne d'Orves;metro
1639;Trocad‚ro;metro
1640;Tuileries;metro
1643;Vaneau;metro
1644;Varenne;metro
1645;Vaugirard (Adolphe Ch‚rioux);metro
1646;Vavin;metro
1648;Victor Hugo;metro
1650;Villejuif-L‚o Lagrange;metro
1649;Villejuif-Louis Aragon;metro
1651;Villejuif-Paul Vaillant Couturier (H“pital Paul Brousse);metro
1654;Villiers;metro
1656;Volontaires;metro
1657;Voltaire (L‚on Blum);metro
1658;Wagram;metro
